major,type,link
KHOA KHOA HỌC ỨNG DỤNG,KHGD,https://drive.google.com/file/d/1GX5W-k_QGQhZeQXthxZs8yff-YvpQkw9/view
KHOA KHOA HỌC ỨNG DỤNG,KHGD,https://drive.google.com/file/d/12lI1a_jkdR4B7GvhbqIi1QAxXs53pCcx/view
Vật lý Kỹ thuật,KHGD,https://drive.google.com/file/d/1-TLCeT-BFbpbMmlmthr1QvR13QhB0Ha5/view
Khoa học dữ liệu,KHGD,https://drive.google.com/file/d/1be61y8ISWqyqrzIPmm5xSRJcf0xUdDWC/view
KHOA CÔNG NGHỆ VẬT LIỆU,KHGD,https://drive.google.com/file/d/1z-RyMRkU6UcNSLkF7TTbkBPcLfj-QpzY/view
KHOA CÔNG NGHỆ VẬT LIỆU,KHGD,https://drive.google.com/file/d/1i1M_5A1a7FJiw6dbHDbLM3FNMo6l6ay6/view
KHOA KỸ THUẬT XÂY DỰNG,KHGD,https://drive.google.com/file/d/1xLa-8waPFjT1z0xEJZ1UkahTxFcnq-ot/view
KHOA KỸ THUẬT XÂY DỰNG,KHGD,https://drive.google.com/file/d/14GzAHvdGudGMhYHlFpnYByrmOsVb0ikV/view
Kỹ thuật Cơ sở hạ tầng,KHGD,https://drive.google.com/file/d/18BpojlHTQuy0_PkP2aTxUJkenWzp75zk/view
Công nghệ Kỹ thuật Vật liệu Xây dựng,KHGD,https://drive.google.com/file/d/1SFBfbHNnAwwstkDKNLLPgehtnqZtqcFj/view
Kỹ thuật Xây dựng,KHGD,https://drive.google.com/file/d/1brRnzYiUZcTx5w9j9lCnyFwAIpH69OfG/view
Kiến trúc,KHGD,https://drive.google.com/file/d/1Meny665urOFs1UWMuzHQXK4IeSV_BKB2/view
Kỹ thuật Trắc địa - Bản đồ,KHGD,https://drive.google.com/file/d/1Br5KC0hnyNro7vipSQszF_acBkPiYXpI/view
Kỹ thuật Xây dựng Công trình Thủy,KHGD,https://drive.google.com/file/d/1WeeJnwec-uDULFGLRJfbWKTvL-UFBjxu/view
Kỹ thuật Xây dựng Công trình Giao thông,KHGD,https://drive.google.com/file/d/18WxEVzw0W2TPPQvPMxiJV4Qv2ymVcf20/view
Kinh tế Xây dựng,KHGD,https://drive.google.com/file/d/1D0HQ4t-bVlh1bJ8WJQBFK-psfwrqku9G/view
VIỆT PHÁP,KHGD,https://drive.google.com/file/d/1WeEvPdv-RTELYik4yokV-tiQcaRuBvtX/view
VIỆT PHÁP,KHGD,https://drive.google.com/file/d/19_E6IjZHvzry7wIH_KMmjfhgmyDS-VzZ/view
Hàng không,KHGD,https://drive.google.com/file/d/1Mv4loaw8LYvMPisxMXr5q5Ak2aVD6m-a/view
Vật liệu Polymer và Composite,KHGD,https://drive.google.com/file/d/1lVVqf6l0uLCHjOHk-Hz5Ov6lfbzLOvlF/view
Vật liệu và Năng lượng,KHGD,https://drive.google.com/file/d/1mmlqY29qcMo_nFzt05k5ZbtZaHbHt51e/view
Viễn thông,KHGD,https://drive.google.com/file/d/1Y3jKBHUw2Y0QAkbCEZC7e7IKixvZuL1D/view
Hệ thống năng lượng điện,KHGD,https://drive.google.com/file/d/1-kZhYgkebn5q91yeeRlcmxzF0Zpha51d/view
Kỹ thuật và quản lý nước đô thị,KHGD,https://drive.google.com/file/d/1XUNXwQHKp0Fl3hTu4IyBQDja96UxRDui/view
Xây dựng dân dụng - Công nghiệp và Hiệu quả,KHGD,https://drive.google.com/file/d/1ZRB9yEoD_6eQQIuj_RpbDqnnp2RrhqeH/view
CHƯƠNG TRÌNH TIÊN TIẾN,KHGD,https://drive.google.com/file/d/1TuCVSIwI5rSgVOv-4LKfAPpIRRg-qSvg/view
CHƯƠNG TRÌNH TIÊN TIẾN,KHGD,https://drive.google.com/file/d/1-xCylHBtQFT0aaNS6N3iERTNkU-5egfq/view
Hệ thống Năng lượng,KHGD,https://drive.google.com/file/d/10qqsmoV2XsXLTzVgxm9YXokq0UHywrMk/view
Kỹ thuật Điều khiển và Tự động hoá,KHGD,https://drive.google.com/file/d/1TLKLr7d-idiJCdgENbETuJPTeJ3ODU8G/view
Hệ thống Viễn thông,KHGD,https://drive.google.com/file/d/1HCUSCk-FlmPjeQ-HZl1OyrDhbUiAXRXH/view
